CPU:202206051058_Univ of Nebraska.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 10:58:32.600,8189,10000,2,470.8754,5393.764,3.108255,4.558774,4.548955,11.28633,11.41273,11.28633,2.910419,11.28633,37,459
'06/05/2022 10:58:32.800,8190,10200,2,547.6663,5452.027,3.075039,4.510057,4.548955,12.19612,12.31474,12.19612,3.348879,12.19612,37,496
'06/05/2022 10:58:33,8191,10400,2,596.0147,5438.78,3.082528,4.521041,4.548955,13.10591,13.21895,13.10591,3.653397,13.10591,37,533
'06/05/2022 10:58:33.200,8192,10600,2,492.0356,5434.136,3.085163,4.524905,4.426012,13.99111,14.12393,13.99111,3.018613,13.99111,36,569
'06/05/2022 10:58:33.400,8193,10800,2,498.1175,5420.002,3.093208,4.536704,4.548955,14.9009,15.03127,14.9009,3.063894,14.9009,37,606
'06/05/2022 10:58:33.600,8194,11000,2,464.7122,5293.778,3.166962,4.644878,4.671903,15.83528,15.96024,15.83528,2.926576,15.83528,38,644
'06/05/2022 10:58:33.800,8195,11200,2,533.0745,5536.154,3.02831,4.441522,4.426007,16.72049,16.84855,16.72049,3.210119,16.72049,36,680
'06/05/2022 10:58:34,8196,11400,2,552.9263,5408.15,3.099987,4.546647,4.54896,17.63028,17.75788,17.63028,3.408474,17.63028,37,717
'06/05/2022 10:58:34.200,8197,11600,2,583.8914,5539.655,3.026396,4.438714,4.54896,18.54007,18.64562,18.54007,3.513911,18.54007,37,754
'06/05/2022 10:58:34.400,8198,11800,2,715.1528,5438.288,3.082807,4.52145,4.426012,19.42527,19.54991,19.42527,4.384076,19.42527,36,790
'06/05/2022 10:58:34.600,8199,12000,2,642.3376,5531.843,3.030671,4.444984,4.426012,20.31047,20.43891,20.31047,3.871105,20.31047,36,826
'06/05/2022 10:58:34.800,8200,12200,2,617.878,5443.243,3.080001,4.517334,4.54896,21.22027,21.34237,21.22027,3.784308,21.22027,37,863
'06/05/2022 10:58:35,8201,12400,2,637.5074,5527.17,3.033233,4.448742,4.426012,22.10547,22.23212,22.10547,3.845243,22.10547,36,899
'06/05/2022 10:58:35.200,8202,12600,2,591.8648,5519.608,3.037388,4.454836,4.426012,22.99067,23.12309,22.99067,3.574832,22.99067,36,935
'06/05/2022 10:58:35.400,8203,12800,2,576.4341,5619.36,2.98347,4.375756,4.426012,23.87587,23.99824,23.87587,3.419827,23.87587,36,971
'06/05/2022 10:58:35.600,8204,13000,2,579.5513,5584.375,3.002161,4.40317,4.426012,24.76108,24.87887,24.76108,3.459862,24.76108,36,1007
'06/05/2022 10:58:35.800,8205,13200,2,535.295,5375.422,3.118861,4.574329,4.54896,25.67087,25.79374,25.67087,3.319877,25.67087,37,1044
'06/05/2022 10:58:36,8206,13400,2,577.8168,5455.476,3.073095,4.507206,4.54896,26.58066,26.69518,26.58066,3.53101,26.58066,37,1081
'06/05/2022 10:58:36.200,8207,13600,2,620.3237,5579.239,3.004925,4.407223,4.303064,27.44127,27.57662,27.44127,3.706678,27.44127,35,1116
'06/05/2022 10:58:36.400,8208,13800,2,629.2311,5521.267,3.036475,4.453498,4.54896,28.35106,28.46732,28.35106,3.79938,28.35106,37,1153
'06/05/2022 10:58:36.600,8209,14000,2,681.4206,5468.316,3.065879,4.496622,4.54896,29.26086,29.36665,29.26086,4.15435,29.26086,37,1190
'06/05/2022 10:58:36.800,8210,14200,2,616.438,5411.838,3.097874,4.543549,4.426012,30.14606,30.27536,30.14606,3.797398,30.14606,36,1226
'06/05/2022 10:58:37,8211,14400,2,689.7889,5455.152,3.073277,4.507473,4.54896,31.05585,31.17685,31.05585,4.215516,31.05585,37,1263
'06/05/2022 10:58:37.200,8212,14600,2,756.4414,5533.984,3.029498,4.443264,4.426012,31.94105,32.06551,31.94105,4.556998,31.94105,36,1299
'06/05/2022 10:58:37.400,8213,14800,2,740.7097,5395.144,3.10746,4.557608,4.54896,32.85085,32.97703,32.85085,4.577058,32.85085,37,1336
'06/05/2022 10:58:37.600,8214,15000,2,678.3261,5476.267,3.061428,4.490094,4.54895,33.76064,33.87504,33.76064,4.12948,33.76064,37,1373
'06/05/2022 10:58:37.800,8215,15200,2,659.2911,5470.602,3.064598,4.494743,4.426002,34.64584,34.774,34.64584,4.017756,34.64584,36,1409
'06/05/2022 10:58:38,8216,15400,2,719.8474,5513.978,3.04049,4.459385,4.54895,35.55562,35.66587,35.55562,4.35228,35.55562,37,1446
'06/05/2022 10:58:38.200,8217,15600,2,760.0078,5480.31,3.059169,4.486782,4.426002,36.44083,36.56323,36.44083,4.623325,36.44083,36,1482
