Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-2.21325325965881,0,0
0.00500000,-1.41395199298859,0,0
0.01000000,0.734782874584198,0,0
0.01500000,-0.85962039232254,0,0
0.02000000,-0.180704161524773,0,0
0.02500000,4.19655561447144,0,0
0.03000000,2.28019213676453,0,0
0.03500000,1.51028716564178,0,0
0.04000000,1.38290286064148,0,0
0.04500000,-0.064518503844738,0,0
0.05000000,4.13076400756836,0,0
0.05500000,1.38570249080658,0,0
0.06000000,-0.730836272239685,0,0
0.06500000,1.35910582542419,0,0
0.07000000,1.31291151046753,0,0
0.07500000,3.43924903869629,0,0
0.08000000,3.17888116836548,0,0
0.08500000,8.80478668212891,0,0
0.09000000,11.7234268188477,0,0
0.09500000,-2.43442606925964,0,0
0.10000000,-1.20537769794464,0,0
0.10500000,6.55526447296143,0,0
0.11000000,0.0754642263054848,0,0
0.11500000,-4.31719350814819,0,0
0.12000000,2.21300053596497,0,0
0.12500000,4.56611013412476,0,0
0.13000000,3.76680874824524,0,0
0.13500000,1.05954277515411,0,0
0.14000000,4.38553237915039,0,0
0.14500000,5.64677667617798,0,0
0.15000000,2.64834666252136,0,0
0.15500000,5.48299694061279,0,0
0.16000000,10.2480087280273,0,0
0.16500000,7.10399675369263,0,0
0.17000000,4.668297290802,0,0
0.17500000,7.16418933868408,0,0
0.18000000,6.64765310287476,0,0
0.18500000,3.16628289222717,0,0
0.19000000,-2.6248025894165,0,0
0.19500000,4.05377340316772,0,0
0.20000000,6.96541404724121,0,0
0.20500000,-1.27676892280579,0,0
0.21000000,3.08649277687073,0,0
0.21500000,11.3832693099976,0,0
0.22000000,3.4098527431488,0,0
0.22500000,-0.232497781515121,0,0
0.23000000,5.84555196762085,0,0
0.23500000,11.1564970016479,0,0
0.24000000,8.99796295166016,0,0
0.24500000,1.94003415107727,0,0
0.25000000,7.38956165313721,0,0
0.25500000,16.8761901855469,0,0
0.26000000,5.73916530609131,0,0
0.26500000,1.86584329605103,0,0
0.27000000,7.88650035858154,0,0
0.27500000,13.6341915130615,0,0
0.28000000,6.09612131118774,0,0
0.28500000,6.43767929077148,0,0
0.29000000,13.0210666656494,0,0
0.29500000,10.2116136550903,0,0
0.30000000,8.56541633605957,0,0
0.30500000,11.6534357070923,0,0
0.31000000,12.0047922134399,0,0
0.31500000,7.2425799369812,0,0
0.32000000,12.7481002807617,0,0
0.32500000,17.5537071228027,0,0
